suburb,rooms,type,price,method,sellerg,distance,bedroom2,bathroom,car,landsize,yearbuilt,councilarea,regionname,year,month,day,season,street_name
Abbotsford,2,h,1180000.0,S,Jellis,2.5,2.0,1.0,0.0,162.0,1900.0,Yarra,Northern Metropolitan,2016,11,27,Autumn,Studley
Abbotsford,3,h,1195000.0,SP,Jellis,2.5,3.0,2.0,1.0,120.0,1998.0,Yarra,Northern Metropolitan,2016,11,27,Autumn,Yarra
Abbotsford,2,h,1012500.0,S,Nelson,2.5,2.0,1.0,0.0,182.0,1900.0,Yarra,Northern Metropolitan,2016,5,28,Spring,Nicholson
Abbotsford,2,h,1030000.0,S,Biggin,2.5,2.0,1.0,1.0,172.0,1930.0,Yarra,Northern Metropolitan,2016,7,30,Summer,Charles
Airport West,3,t,840000.0,PI,Nelson,13.5,3.0,2.0,1.0,303.0,2016.0,Moonee Valley,Western Metropolitan,2016,3,9,Spring,Halsey
Airport West,3,h,730000.0,VB,Nelson,13.5,3.0,2.0,1.0,0.0,1965.0,Moonee Valley,Western Metropolitan,2016,3,12,Spring,Bedford
Airport West,3,h,770000.0,SP,Nelson,13.5,3.0,2.0,1.0,0.0,1965.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring,Bedford
Airport West,2,h,603000.0,S,Nelson,13.5,2.0,1.0,1.0,272.0,1950.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring,Hart
Airport West,3,t,700000.0,S,Brad,13.5,3.0,2.0,2.0,239.0,2009.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring,Hawker
Airport West,3,h,600000.0,S,Maddison,13.5,2.0,1.0,1.0,290.0,1980.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring,Hillside
Airport West,2,u,500000.0,VB,Barry,13.5,2.0,1.0,1.0,168.0,2011.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring,McIntosh
Airport West,3,h,720000.0,S,Barry,13.5,2.0,1.0,1.0,620.0,,Moonee Valley,Western Metropolitan,2016,6,8,Summer,Marshall
Airport West,4,h,785000.0,S,Considine,13.5,3.0,1.0,2.0,597.0,,Moonee Valley,Western Metropolitan,2016,6,8,Summer,Roberts
Airport West,6,h,725000.0,SP,Barry,13.5,6.0,3.0,2.0,976.0,1980.0,Moonee Valley,Western Metropolitan,2016,7,5,Summer,Harrington
Airport West,2,t,450000.0,S,Barry,13.5,2.0,1.0,1.0,110.0,2015.0,Moonee Valley,Western Metropolitan,2016,7,5,Summer,Parer
Airport West,2,u,515000.0,S,Barry,13.5,2.0,1.0,1.0,141.0,2013.0,Moonee Valley,Western Metropolitan,2016,7,11,Summer,Hart
Airport West,2,u,530000.0,S,Nelson,13.5,2.0,1.0,1.0,120.0,2012.0,Moonee Valley,Western Metropolitan,2016,10,9,Autumn,Clydesdale
Airport West,3,h,895000.0,PI,Rendina,13.5,3.0,1.0,6.0,1063.0,1975.0,Moonee Valley,Western Metropolitan,2016,10,9,Autumn,Deidre
Airport West,3,h,805000.0,S,Nelson,13.5,3.0,1.0,1.0,0.0,1950.0,Moonee Valley,Western Metropolitan,2016,10,12,Autumn,Etzel
Airport West,3,u,752000.0,S,Nelson,13.5,3.0,1.0,1.0,265.0,1993.0,Moonee Valley,Western Metropolitan,2017,11,2,Autumn,Cameron
Airport West,2,u,440000.0,S,Barry,13.5,2.0,1.0,1.0,192.0,,Moonee Valley,Western Metropolitan,2016,8,13,Summer,Victory
Airport West,5,h,755000.0,PI,Propertyau,13.5,3.0,2.0,2.0,596.0,,Moonee Valley,Western Metropolitan,2016,5,14,Spring,Parer
Airport West,3,t,700000.0,PI,Brad,13.5,3.0,2.0,2.0,165.0,2009.0,Moonee Valley,Western Metropolitan,2016,10,15,Autumn,Earl
Airport West,3,h,830000.0,S,Barry,13.5,3.0,1.0,2.0,971.0,1960.0,Moonee Valley,Western Metropolitan,2016,4,16,Spring,Parer
Airport West,2,u,462500.0,S,Barry,13.5,2.0,1.0,1.0,164.0,2003.0,Moonee Valley,Western Metropolitan,2016,7,16,Summer,Hawker
Airport West,3,h,670000.0,SP,Barry,13.5,3.0,2.0,2.0,657.0,,Moonee Valley,Western Metropolitan,2016,7,16,Summer,Hillside
Airport West,2,h,675000.0,S,Barry,13.5,2.0,1.0,1.0,612.0,1975.0,Moonee Valley,Western Metropolitan,2016,7,16,Summer,Parer
Airport West,3,h,1042000.0,S,Nelson,13.5,3.0,2.0,5.0,612.0,1950.0,Moonee Valley,Western Metropolitan,2016,7,16,Summer,Victory
Airport West,3,h,910000.0,S,McDonald,13.5,3.0,1.0,1.0,775.0,,Moonee Valley,Western Metropolitan,2016,9,17,Autumn,King
Airport West,4,h,773000.0,S,Brad,13.5,5.0,3.0,4.0,531.0,1980.0,Moonee Valley,Western Metropolitan,2016,9,17,Autumn,Kittyhawk
Airport West,3,h,810000.0,PI,Barry,13.5,3.0,3.0,2.0,555.0,1980.0,Moonee Valley,Western Metropolitan,2017,3,18,Spring,Fullarton
Airport West,3,h,715000.0,S,Rendina,13.5,3.0,2.0,2.0,422.0,1995.0,Moonee Valley,Western Metropolitan,2017,3,18,Spring,Marshall
Airport West,3,h,790000.0,S,Nelson,13.5,3.0,1.0,3.0,614.0,,Moonee Valley,Western Metropolitan,2017,3,18,Spring,Parer
Airport West,3,t,540000.0,SP,Nelson,13.5,2.0,2.0,1.0,161.0,2010.0,Moonee Valley,Western Metropolitan,2016,6,18,Summer,South
Airport West,3,t,825000.0,SP,Barry,13.5,3.0,2.0,1.0,293.0,1960.0,Moonee Valley,Western Metropolitan,2016,11,19,Autumn,North
Airport West,3,h,685000.0,S,Barry,13.5,3.0,1.0,1.0,579.0,1975.0,Moonee Valley,Western Metropolitan,2016,5,22,Spring,Hilbert
Airport West,3,h,805000.0,S,Barry,13.5,3.0,1.0,1.0,623.0,,Moonee Valley,Western Metropolitan,2016,8,22,Summer,Halsey
Airport West,2,u,510000.0,S,Nelson,13.5,2.0,1.0,1.0,141.0,,Moonee Valley,Western Metropolitan,2016,8,22,Summer,North
Airport West,3,h,612000.0,S,Nelson,13.5,3.0,2.0,1.0,212.0,,Moonee Valley,Western Metropolitan,2016,8,22,Summer,Victory
Airport West,3,h,662000.0,S,Brad,13.5,3.0,1.0,2.0,612.0,,Moonee Valley,Western Metropolitan,2016,4,23,Spring,Marshall
Airport West,4,h,978000.0,S,Nelson,13.5,4.0,3.0,2.0,532.0,,Moonee Valley,Western Metropolitan,2016,9,24,Autumn,Moorna
Airport West,3,h,720000.0,PI,Nelson,13.5,3.0,1.0,1.0,585.0,,Moonee Valley,Western Metropolitan,2017,2,25,Winter,North
Airport West,4,h,765000.0,S,Prof.,13.5,4.0,1.0,2.0,509.0,,Moonee Valley,Western Metropolitan,2016,11,27,Autumn,Roberts
Airport West,4,h,900000.0,S,Harcourts,13.5,4.0,2.0,3.0,628.0,1975.0,Moonee Valley,Western Metropolitan,2016,11,27,Autumn,Roberts
Albert Park,2,h,1275000.0,S,hockingstuart,3.3,2.0,1.0,0.0,120.0,1900.0,Port Phillip,Southern Metropolitan,2016,3,9,Spring,Kerferd
Albert Park,2,h,1455000.0,S,Thomson,3.3,2.0,1.0,0.0,159.0,,Port Phillip,Southern Metropolitan,2016,3,9,Spring,Richardson
Albert Park,3,h,2850000.0,PI,Buxton,3.3,3.0,2.0,0.0,211.0,1890.0,Port Phillip,Southern Metropolitan,2017,4,3,Spring,Beaconsfield
Albert Park,3,h,1850000.0,S,Greg,3.3,3.0,2.0,0.0,128.0,1890.0,Port Phillip,Southern Metropolitan,2017,4,3,Spring,Graham
Albert Park,2,h,1436000.0,S,RT,3.3,2.0,1.0,0.0,130.0,1900.0,Port Phillip,Southern Metropolitan,2017,4,3,Spring,Montague
Albert Park,2,h,1110000.0,S,Marshall,3.3,1.0,1.0,0.0,147.0,1900.0,Port Phillip,Southern Metropolitan,2016,6,8,Summer,Graham
Albert Park,2,h,1550000.0,S,Sotheby's,3.3,2.0,1.0,1.0,167.0,,Port Phillip,Southern Metropolitan,2016,7,5,Summer,Brooke
Albert Park,4,h,2300000.0,S,Marshall,3.3,4.0,2.0,1.0,153.0,1880.0,Port Phillip,Southern Metropolitan,2016,7,5,Summer,Richardson
Albert Park,3,t,1550000.0,VB,Marshall,3.3,3.0,2.0,2.0,718.0,,Port Phillip,Southern Metropolitan,2016,7,11,Summer,Mills
Albert Park,3,h,1800000.0,VB,Greg,3.3,3.0,2.0,1.0,132.0,1996.0,Port Phillip,Southern Metropolitan,2016,7,11,Summer,Moubray
Albert Park,2,h,2120000.0,S,Greg,3.3,2.0,1.0,1.0,199.0,1900.0,Port Phillip,Southern Metropolitan,2016,10,9,Autumn,Faussett
Albert Park,3,h,1800000.0,VB,Cayzer,3.3,3.0,1.0,1.0,253.0,,Port Phillip,Southern Metropolitan,2016,10,9,Autumn,Herbert
Albert Park,3,h,1800000.0,S,Marshall,3.3,3.0,2.0,1.0,90.0,1900.0,Port Phillip,Southern Metropolitan,2016,10,9,Autumn,Kerferd
Albert Park,2,h,1810000.0,PI,Greg,3.3,2.0,1.0,0.0,240.0,,Port Phillip,Southern Metropolitan,2016,10,12,Autumn,Draper
Albert Park,3,h,2615000.0,S,Cayzer,3.3,3.0,2.0,1.0,177.0,1880.0,Port Phillip,Southern Metropolitan,2016,10,12,Autumn,Dundas
Albert Park,5,h,2100000.0,S,Greg,3.3,5.0,2.0,1.0,237.0,,Port Phillip,Southern Metropolitan,2016,10,12,Autumn,Finlay
Albert Park,3,h,1300000.0,S,hockingstuart,3.3,3.0,1.0,0.0,129.0,,Port Phillip,Southern Metropolitan,2016,10,12,Autumn,Richardson
Albert Park,3,h,1370000.0,S,Greg,3.3,3.0,2.0,2.0,0.0,2000.0,Port Phillip,Southern Metropolitan,2016,12,6,Winter,Gatehouse
Albert Park,2,h,1000000.0,S,Cayzer,3.3,2.0,1.0,0.0,288.0,,Port Phillip,Southern Metropolitan,2016,12,11,Winter,Brooke
Albert Park,3,h,2575000.0,S,Greg,3.3,3.0,2.0,1.0,228.0,,Port Phillip,Southern Metropolitan,2016,10,15,Autumn,Barrett
Albert Park,2,h,1322500.0,S,Greg,3.3,2.0,1.0,0.0,149.0,1890.0,Port Phillip,Southern Metropolitan,2016,10,15,Autumn,Graham
Albert Park,2,h,1562500.0,S,Greg,3.3,2.0,1.0,0.0,141.0,1890.0,Port Phillip,Southern Metropolitan,2016,10,15,Autumn,Montague
Albert Park,3,h,2000000.0,VB,RT,3.3,3.0,2.0,1.0,211.0,1900.0,Port Phillip,Southern Metropolitan,2016,4,16,Spring,Mills
Albert Park,3,h,1900000.0,S,Greg,3.3,3.0,1.0,0.0,209.0,1900.0,Port Phillip,Southern Metropolitan,2017,3,18,Spring,Kerferd
Albert Park,3,h,3010000.0,S,Greg,3.3,3.0,2.0,0.0,147.0,1890.0,Port Phillip,Southern Metropolitan,2017,3,18,Spring,Page
Albert Park,4,h,2800000.0,VB,Cayzer,3.3,4.0,3.0,1.0,327.0,1910.0,Port Phillip,Southern Metropolitan,2016,6,18,Summer,Withers
Albert Park,2,u,647000.0,S,Greg,3.3,2.0,1.0,1.0,0.0,,Port Phillip,Southern Metropolitan,2016,5,22,Spring,Kerferd
Albert Park,3,h,2100000.0,SP,Marshall,3.3,2.0,1.0,1.0,120.0,1900.0,Port Phillip,Southern Metropolitan,2016,4,23,Spring,Merton
Albert Park,3,h,2000000.0,PI,Marshall,3.3,3.0,1.0,1.0,238.0,1890.0,Port Phillip,Southern Metropolitan,2016,9,24,Autumn,Page
Albert Park,1,u,442500.0,S,Marshall,3.3,1.0,1.0,0.0,0.0,1970.0,Port Phillip,Southern Metropolitan,2017,2,25,Winter,Moubray
Albert Park,4,h,4735000.0,S,Marshall,3.3,4.0,2.0,1.0,330.0,1910.0,Port Phillip,Southern Metropolitan,2017,2,25,Winter,Page
Albert Park,2,h,1340000.0,S,Greg,3.3,2.0,1.0,0.0,136.0,,Port Phillip,Southern Metropolitan,2017,2,25,Winter,Page
Albert Park,3,h,1801000.0,S,hockingstuart,3.3,3.0,1.0,1.0,202.0,,Port Phillip,Southern Metropolitan,2017,2,25,Winter,Richardson
Albert Park,3,h,1532000.0,S,Chisholm,3.3,3.0,3.0,1.0,0.0,,Port Phillip,Southern Metropolitan,2016,7,26,Summer,Dundas
Albert Park,3,h,3755000.0,S,Greg,3.3,3.0,2.0,2.0,325.0,,Port Phillip,Southern Metropolitan,2016,7,26,Summer,Greig
Albert Park,4,h,2140000.0,S,Greg,3.3,3.0,2.0,1.0,183.0,1880.0,Port Phillip,Southern Metropolitan,2016,6,27,Summer,Barrett
Albert Park,2,h,1750000.0,S,Marshall,3.3,2.0,1.0,1.0,162.0,,Port Phillip,Southern Metropolitan,2016,11,27,Autumn,Greig
Albert Park,2,h,980000.0,S,Greg,3.3,2.0,1.0,0.0,79.0,1890.0,Port Phillip,Southern Metropolitan,2016,5,28,Spring,Brooke
Albert Park,3,h,2030000.0,S,hockingstuart,3.3,3.0,2.0,0.0,152.0,,Port Phillip,Southern Metropolitan,2016,8,28,Summer,Danks
Albert Park,3,h,1740000.0,PI,Marshall,3.3,3.0,2.0,2.0,147.0,1890.0,Port Phillip,Southern Metropolitan,2016,8,28,Summer,Reed
Albert Park,3,h,2800000.0,VB,Buxton,3.3,3.0,3.0,1.0,0.0,,Port Phillip,Southern Metropolitan,2016,7,30,Summer,Bridport
Albert Park,1,h,985000.0,S,Marshall,3.3,1.0,1.0,0.0,81.0,1900.0,Port Phillip,Southern Metropolitan,2016,7,30,Summer,Durham
Alphington,4,h,2000000.0,S,Brace,6.4,3.0,2.0,4.0,853.0,1930.0,Darebin,Northern Metropolitan,2016,3,9,Spring,Smith
Alphington,3,h,1110000.0,S,Jellis,6.4,3.0,2.0,2.0,208.0,2013.0,Yarra,Northern Metropolitan,2016,3,9,Spring,Yarralea
Alphington,3,h,1492000.0,S,Jellis,6.4,3.0,2.0,2.0,411.0,,Darebin,Northern Metropolitan,2017,4,3,Spring,Fulham
Alphington,4,h,1717500.0,S,Collins,6.4,4.0,2.0,1.0,599.0,1925.0,Darebin,Northern Metropolitan,2016,8,10,Summer,Shiers
Alphington,5,h,2840000.0,S,Nelson,6.4,5.0,4.0,4.0,809.0,1910.0,Darebin,Northern Metropolitan,2016,12,6,Winter,Fulham
Alphington,2,u,525500.0,S,Miles,6.4,2.0,1.0,1.0,88.0,1960.0,Darebin,Northern Metropolitan,2016,12,11,Winter,Harker
Alphington,2,t,805000.0,S,Miles,6.4,2.0,2.0,3.0,155.0,2004.0,Darebin,Northern Metropolitan,2016,12,11,Winter,Miller
Alphington,2,u,465000.0,S,McGrath,6.4,2.0,1.0,1.0,0.0,,Darebin,Northern Metropolitan,2016,12,11,Winter,Yarana
Alphington,3,h,2000000.0,PI,hockingstuart,6.4,3.0,3.0,2.0,686.0,,Darebin,Northern Metropolitan,2016,10,15,Autumn,Heidelberg
Alphington,3,h,1540000.0,S,Nelson,6.4,3.0,1.0,2.0,592.0,,Darebin,Northern Metropolitan,2016,4,16,Spring,Naroon
Alphington,2,u,820000.0,S,Nelson,6.4,2.0,1.0,1.0,183.0,,Darebin,Northern Metropolitan,2017,3,18,Spring,Grange
Alphington,4,h,1830000.0,S,Nelson,6.4,4.0,2.0,2.0,606.0,1970.0,Darebin,Northern Metropolitan,2016,11,19,Autumn,Bennett
Alphington,4,h,2100000.0,S,Nelson,6.4,4.0,2.0,2.0,575.0,2008.0,Darebin,Northern Metropolitan,2016,11,19,Autumn,Bennett
Alphington,3,h,865000.0,SP,hockingstuart,6.4,3.0,1.0,1.0,180.0,2010.0,Darebin,Northern Metropolitan,2016,5,22,Spring,Hamilton
Alphington,2,u,390000.0,VB,Nelson,6.4,2.0,1.0,1.0,0.0,1960.0,Darebin,Northern Metropolitan,2016,5,22,Spring,Yarana
Alphington,2,t,650000.0,SP,Brace,6.4,0.0,1.0,0.0,0.0,,Yarra,Northern Metropolitan,2016,9,24,Autumn,Chandler
Alphington,2,u,512000.0,S,Love,6.4,2.0,1.0,1.0,0.0,1965.0,Darebin,Northern Metropolitan,2017,2,25,Winter,Fulham
Alphington,3,h,1165000.0,S,Barry,6.4,3.0,1.0,2.0,979.0,,Yarra,Northern Metropolitan,2016,6,27,Summer,Lowther
Alphington,4,h,1900000.0,SP,McGrath,6.4,4.0,2.0,2.0,556.0,1930.0,Yarra,Northern Metropolitan,2016,11,27,Autumn,Margaret
Alphington,3,h,1485000.0,SP,McGrath,6.4,3.0,0.0,0.0,597.0,,Darebin,Northern Metropolitan,2016,8,28,Summer,Naroon
Alphington,4,h,1950000.0,S,Jellis,6.4,4.0,2.0,3.0,589.0,1920.0,Darebin,Northern Metropolitan,2016,7,30,Summer,Shiers
Altona,3,h,520000.0,VB,Greg,13.8,3.0,2.0,1.0,352.0,2015.0,Hobsons Bay,Western Metropolitan,2016,3,9,Spring,Queen
Altona,5,h,1525000.0,S,Greg,13.8,5.0,3.0,3.0,729.0,2005.0,Hobsons Bay,Western Metropolitan,2016,3,12,Spring,Bracken
Altona,2,t,720000.0,S,hockingstuart,13.8,2.0,1.0,2.0,292.0,2013.0,Hobsons Bay,Western Metropolitan,2016,4,2,Spring,Blyth
Altona,3,h,1120000.0,S,Barlow,13.8,3.0,1.0,2.0,506.0,1930.0,Hobsons Bay,Western Metropolitan,2017,4,3,Spring,Blyth
Altona,4,h,780000.0,PI,Sweeney,13.8,4.0,1.0,4.0,655.0,,Hobsons Bay,Western Metropolitan,2016,4,6,Spring,Linnet
Altona,4,h,1780000.0,SP,Greg,13.8,4.0,3.0,6.0,1057.0,1962.0,Hobsons Bay,Western Metropolitan,2016,4,6,Spring,Rose
Altona,3,u,630000.0,S,Barlow,13.8,2.0,1.0,2.0,311.0,1955.0,Hobsons Bay,Western Metropolitan,2016,6,8,Summer,Blyth
Altona,2,u,406000.0,SP,hockingstuart,13.8,2.0,1.0,1.0,65.0,,Hobsons Bay,Western Metropolitan,2016,6,8,Summer,Grieve
Altona,3,h,660000.0,VB,Greg,13.8,3.0,1.0,1.0,602.0,1955.0,Hobsons Bay,Western Metropolitan,2016,7,5,Summer,Maidstone
Altona,3,h,683500.0,S,Greg,13.8,3.0,1.0,1.0,530.0,,Hobsons Bay,Western Metropolitan,2016,7,11,Summer,Keeshan
Altona,2,u,580000.0,S,Barlow,13.8,2.0,1.0,1.0,225.0,1988.0,Hobsons Bay,Western Metropolitan,2016,8,10,Summer,Queen
Altona,3,h,1335000.0,S,hockingstuart,13.8,3.0,1.0,4.0,777.0,1953.0,Hobsons Bay,Western Metropolitan,2016,8,10,Summer,Queen
Altona,3,t,800000.0,SP,hockingstuart,13.8,3.0,2.0,2.0,280.0,1997.0,Hobsons Bay,Western Metropolitan,2016,8,10,Summer,Queen
Altona,2,u,510000.0,S,Village,13.8,2.0,1.0,1.0,127.0,1990.0,Hobsons Bay,Western Metropolitan,2016,10,9,Autumn,Grieve
Altona,4,h,1070000.0,S,Barlow,13.8,4.0,2.0,2.0,695.0,,Hobsons Bay,Western Metropolitan,2016,10,9,Autumn,Queen
Altona,2,u,425000.0,S,hockingstuart,13.8,2.0,1.0,2.0,115.0,1980.0,Hobsons Bay,Western Metropolitan,2016,10,9,Autumn,Rose
Altona,3,u,605000.0,S,Jas,13.8,3.0,2.0,2.0,230.0,,Hobsons Bay,Western Metropolitan,2016,10,12,Autumn,David
Altona,3,t,705000.0,S,hockingstuart,13.8,3.0,2.0,2.0,197.0,,Hobsons Bay,Western Metropolitan,2017,11,2,Autumn,Merritt
Altona,2,u,391000.0,SP,Greg,13.8,2.0,1.0,1.0,0.0,1965.0,Hobsons Bay,Western Metropolitan,2017,11,2,Autumn,Millers
Altona,2,u,440000.0,SP,hockingstuart,13.8,2.0,1.0,1.0,0.0,,Hobsons Bay,Western Metropolitan,2017,11,2,Autumn,Pier
Altona,4,h,845000.0,S,hockingstuart,13.8,4.0,1.0,2.0,745.0,1950.0,Hobsons Bay,Western Metropolitan,2017,11,2,Autumn,Wren
Altona,3,t,743000.0,SP,Gunn&Co,13.8,3.0,2.0,2.0,211.0,,Hobsons Bay,Western Metropolitan,2016,12,11,Winter,Blyth
Altona,3,u,730000.0,SP,Barlow,13.8,3.0,2.0,1.0,69.0,2014.0,Hobsons Bay,Western Metropolitan,2016,8,13,Summer,Blyth
Altona,3,h,635000.0,S,Sweeney,13.8,3.0,1.0,4.0,625.0,1960.0,Hobsons Bay,Western Metropolitan,2016,5,14,Spring,Maidstone
Altona,2,u,620000.0,SP,hockingstuart,13.8,2.0,1.0,1.0,168.0,,Hobsons Bay,Western Metropolitan,2016,5,14,Spring,Rayner
Altona,2,u,447000.0,S,Burnham,13.8,2.0,1.0,1.0,137.0,1990.0,Hobsons Bay,Western Metropolitan,2016,10,15,Autumn,Sargood
Altona,3,u,730000.0,SP,Barlow,13.8,3.0,2.0,1.0,70.0,,Hobsons Bay,Western Metropolitan,2016,4,16,Spring,Blyth
Altona,3,h,678000.0,S,hockingstuart,13.8,3.0,1.0,2.0,606.0,1950.0,Hobsons Bay,Western Metropolitan,2016,4,16,Spring,Fenfield
Altona,2,u,580000.0,PI,Biggin,13.8,2.0,2.0,1.0,175.0,2013.0,Hobsons Bay,Western Metropolitan,2016,7,16,Summer,David
Altona,3,h,712000.0,S,hockingstuart,13.8,3.0,1.0,2.0,363.0,,Hobsons Bay,Western Metropolitan,2016,9,17,Autumn,Seves
Altona,3,h,840000.0,SP,Greg,13.8,3.0,2.0,2.0,534.0,1965.0,Hobsons Bay,Western Metropolitan,2017,3,18,Spring,McIntyre
Altona,3,h,980000.0,S,Barlow,13.8,3.0,1.0,2.0,724.0,,Hobsons Bay,Western Metropolitan,2016,11,19,Autumn,Boyd
Altona,3,t,605100.0,S,hockingstuart,13.8,3.0,2.0,0.0,265.0,,Hobsons Bay,Western Metropolitan,2016,5,22,Spring,Spear
Altona,3,h,880000.0,PI,Barlow,13.8,3.0,3.0,1.0,577.0,,Hobsons Bay,Western Metropolitan,2016,8,22,Summer,Queen
Altona,3,u,577000.0,S,Williams,13.8,3.0,2.0,1.0,205.0,2007.0,Hobsons Bay,Western Metropolitan,2016,4,23,Spring,Mulga
Altona,4,h,1030000.0,S,Barlow,13.8,4.0,1.0,0.0,797.0,,Hobsons Bay,Western Metropolitan,2017,2,25,Winter,Millers
